Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass of Earth Meteorite,Year,Latitude,Longitude,Point Coordinates
Aachen,1,Valid,L5,,1880-01-01T00:00:00.000,50.775,6.08333,"[50, 6]"
Aarhus,2,Valid,H6,,1951-01-01T00:00:00.000,56.18333,10.23333,"[56, 10]"
Abee,6,Valid,EH4,,1952-01-01T00:00:00.000,54.21667,-113.0,"[54, -113]"
Acapulco,10,Valid,Acapulcoite,,1976-01-01T00:00:00.000,16.88333,-99.9,"[16, -99]"
Achiras,370,Valid,L6,,1902-01-01T00:00:00.000,-33.16667,-64.95,"[-33, -64]"
Adhi Kot,379,Valid,EH4,,1919-01-01T00:00:00.000,32.1,71.8,"[32, 71]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,,1949-01-01T00:00:00.000,44.83333,95.16667,"[44, 95]"
Agen,392,Valid,H5,,1814-01-01T00:00:00.000,44.21667,0.61667,"[44, 0]"
Aguada,398,Valid,L6,,1930-01-01T00:00:00.000,-31.6,-65.23333,"[-31, -65]"
Aguila Blanca,417,Valid,L,,1920-01-01T00:00:00.000,-30.86667,-64.55,"[-30, -64]"
Aioun el Atrouss,423,Valid,Diogenite-pm,,1974-01-01T00:00:00.000,16.39806,-9.57028,"[16, -9]"
Aïr,424,Valid,L6,,1925-01-01T00:00:00.000,19.08333,8.38333,"[19, 8]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01T00:00:00.000,50.66667,2.33333,"[50, 2]"
Akaba,426,Valid,L6,,1949-01-01T00:00:00.000,29.51667,35.05,"[29, 35]"
Akbarpur,427,Valid,H4,,1838-01-01T00:00:00.000,29.71667,77.95,"[29, 77]"
Akwanga,432,Valid,H,,1959-01-01T00:00:00.000,8.91667,8.43333,"[8, 8]"
Akyumak,433,Valid,"Iron, IVA",,1981-01-01T00:00:00.000,39.91667,42.81667,"[39, 42]"
Al Rais,446,Valid,CR2-an,,1957-01-01T00:00:00.000,24.41667,39.51667,"[24, 39]"
Al Zarnkh,447,Valid,LL5,,2001-01-01T00:00:00.000,13.66033,28.96,"[13, 28]"
Alais,448,Valid,CI1,,1806-01-01T00:00:00.000,44.11667,4.08333,"[44, 4]"
Albareto,453,Valid,L/LL4,,1766-01-01T00:00:00.000,44.65,11.01667,"[44, 11]"
Alberta,454,Valid,L,,1949-01-01T00:00:00.000,2.0,22.66667,"[2, 22]"
